query	expect_answer	is_exact	answer	_from
B615的外文名	B615	0	B615_百度百科	
2013中国上海国际节能与新能源汽车博览会的展览规模	11,500平方米	0	2019第十三届上海国际节能与新能源汽车产业博览会	
2011上海国际矿业装备展览会的所属行业	能源矿产	0	2020上海新型冠状病毒快速检测试剂盒展览会_云同盟	
ADOBE FLASH CS3案例风暴的出版时间	2008-12	1	2008年12月	来自百度百科
BYK PG3501湿膜测厚规的第一条	BYK PG3501湿膜测厚规	0	BYK PG3501湿膜测厚规_百度百科	
21世纪普通高校计算机公共课程规划教材·C程序设计教程的出版社	清华大学出版社	0	21世纪普通高校计算机公共课程规划教材：C语言程序设计教程_百度...	
16岁，我爱上你的小说进度	已完结	0	爱上你我输了最新全部章节在线阅读-爱阅小说网	
21世纪公共行政系列教材：公共管理概论的作者	朱立言、谢明编	1	朱立言、谢明	来自百度百科
2000年全国会计专业技术资格考试用书辅导系列(全六册的ISBN	9787801472519	0	...2019年全国会计专业技术资格考试辅导教材ISBN:9787514198508...	
(0048)香辣虾味干锅的餐馆名称	(0048)香辣虾味干锅	0	《0048》香辣虾口味干锅_百度百科	
2006年11月27日的飞机所有者	伊朗	0	1926年11月27日 波音727三发动机喷气飞机_历史上的今天_911查询	
Ancient与双鱼玉佩的中文名	Ancient与双鱼玉佩	0	Ancient与双鱼玉佩_百度百科	
2015年考研思想政治理论大纲解析配套1500题的出版时间	2014-3-1	1	2014年3月1日	来自百度百科
B&B Early Leaving Bergamo Airport的英文名称	B&amp;B Early Leaving Bergamo Airport	0	哔哩哔哩 (゜-゜)つロ 干杯~-bilibili	
10000医学英语单词速通的作者	王晓鹰	1	王晓鹰	来自百度百科
BSTXPWR的用于	Locating运算	0	BSTXPWR_百度百科	
2013最新版教师公开招聘考试专用系列教材学科专业知识（中学美术）的页数	360	1	360页	来自百度百科
2006-2010北京最美的乡村的开本	16	0	2006-2010北京最美的乡村_百度百科	
2011第12届中国国际医疗器械设计与制造技术展览会的所属行业	医疗器械	0	2020年中国国际医疗器械(春季)博览会_CMEF时间_地点_门票_介绍-聚...	
3001：太空漫游的ISBN	10位[720807397X]13位[9787208073975]	0	3001太空漫游 (豆瓣)	
2013年哈尔滨国际墙纸及家居软装饰博览会的地址	哈尔滨	0	2012第10届哈尔滨国际墙纸布艺家居软装饰博览会_百度百科	
20Cr2Ni4A合金钢的类型	强度高	0	20Cr2Ni4A合金钢_百度百科	
2010中国室内设计年刊的语言	中文	0	...文教 医疗:2007第三届IFI国际内设计大赛暨2007年中国室内设计...	
BBC 动物上战场(DVD)的ISBN	9787883669296	0	BBC 动物上战场(DVD)_百度百科	
C++Builder 4.0高级编程的定价	35.00元	0	《C++Builder 4.0高级编程》(任常锐)【简介_书评_在线阅读...	
2014上海虹桥汽车零部件展览会的中文名	2014上海虹桥汽车零部件展览会	0	2014上海虹桥汽车零部件展览会_百度百科	
5Cr15MoV的应用	作为刀剪材料	0	5Cr15MoV_百度百科	
