query	expect_answer	is_exact	answer	answer_from
0453的邮编	157000	1	157000	来自百度百科

12金星星座，看准骨子里的爱的页数	222	1	222页	来自百度百科

1872年的年号	清穆宗同治十一年	1	清穆宗同治十一年	来自百度百科

*天使心*的作者	雪天使	1	雪天使.QD	来自百度百科

120个影响一生的哲理寓言的作者	陈书凯 编	1	陈书凯	来自百度百科

1168年的农历	<a>戊子</a>年	1	戊子年	来自百度百科

1721年的年号	清圣祖康熙六十年	1	清圣祖康熙六十年	来自百度百科

109则年轻人必知的哲理的出版时间	2004年01月	1	2004年1月	来自百度百科

0372的国家	中国	1	中国	来自百度百科

1,2,3数兔子的出版时间	2012-8	1	2012年8月	来自百度百科

12号州际公路的外文名	Interstate 12	1	Interstate 12	来自百度百科

10个想法不如一个行动的出版时间	第1版 (2002年1月1日)	1	2002年1月1日(第1版)	来自百度百科

189荣誉的出处	<a>魔兽世界</a>	1	魔兽世界	来自百度百科

(S)-Cbz-3-氨基-Y-丁内酯的分子量	235.24	1	235.24	来自百度百科

14岁(21)的出版时间	2004/4/23	1	2004年4月23日	来自百度百科

1013年的纪年	癸丑年（牛年）	1	癸丑年(牛年)	来自百度百科

11只猫跑马拉松的页数	24页	1	24页	来自百度百科

05年的夏天是蓝色的的作者	莲华樱音	1	莲华樱音	来自百度百科

100个最好的楼盘与景观2的作者	佳图文化	1	佳图文化	来自百度百科

13春小学同步作文全程训练·五年级下的页数	127	1	127页	来自百度百科

1-氯十二烷的英文名	1-Chlorododecane	1	1-Chlorododecane	来自百度百科

1-萘甲醛的熔点	1-2℃	1	1摄氏度-2摄氏度	来自百度百科

11?16滇川交界地震的震源深度	13千米	1	13千米	来自百度百科

15CrMo的执行标准	GB/T 3077-2006	1	GB/T 3077-2006	来自百度百科

1879年8月23日，维苏威火山爆发的规格	190cm×303cm	1	190厘米×303厘米	来自百度百科

10分钟打造完美销售团队的作者	莫测	1	莫测	来自百度百科

08SG213-1钢烟囱（自立式30-60M）（国家建筑标准设计图集）的出版时间	2008-12	1	2008年12月	来自百度百科

11·6吉林松原炼油厂闪爆事故的伤亡人数	11人	1	11人	来自百度百科

1110酒店的英文名称	Hotel 1110	1	Hotel 1110	来自百度百科

100位为新中国成立作出突出贡献的英雄模范人物：叶成焕的出版时间	2011年4月1日	1	2011年4月1日	来自百度百科

1,4-环己烷二甲醇的外文名	1,4-Cyclohexanedimethanol	1	1,4-Cyclohexanedimethanol	来自百度百科

07式预备役军服的时间	2011年5月1日起	1	2011年5月1日起	来自百度百科

0-3岁中国父母最关注的100个育儿问题的页数	197页	1	197页	来自百度百科

12·5江西丰城合兴煤矿瓦斯爆炸事故的伤亡	3人受伤、6人死亡	1	6人死亡、3人受伤	来自百度百科

12·13意大利佛罗伦萨枪击事件的时间	2011年12月13日	1	2011年12月13日	来自百度百科

.50 BMG的外文名	.50 Browning Machine Gun	1	50 Browning Machine Gun	来自百度百科

139出行的用途	查询苏州实时交通信息	1	查询苏州实时交通信息	来自百度百科

13号站台的秘密的作者	英伊娃·伊博森	1	伊娃·伊博森	来自百度百科

(nh4)2co3的化学式	(NH4)2CO3	1	(NH4)2·CO3	来自百度百科

0-3岁育儿全程指导的出版社	<a>上海科学技术出版社</a>	1	上海科学技术出版社	来自百度百科

1-溴-4-苄氧基苯的外文名	Benzyloxybromobenzene	1	Benzyloxybromobenzene	来自百度百科

0-3岁超级闪卡王：唐诗卡的作者	崔钟雷	1	崔钟雷	来自百度百科

(R)-N-叔丁氧羰基-3-氨基-3-（4-羟基苯基）丙酸的分子量	281.3044	1	281.3044	来自百度百科

15篇文章贯通4级词汇的出版时间	2005年8月1日	1	2005年8月1日	来自百度百科

1,3,5-三嗪-2,4,6(1H,3H,5H)-三硫酮三钠盐的CAS号	:17766-26-6	1	17766-26-6	来自百度百科

(R)-3-氨基-3-(3-氯苯基)-丙酸的分子量	199.6342	1	199.6342	来自百度百科

.NET框架程序设计的出版时间	2013-2-20	1	2013年2月20日	来自百度百科

(S)-(-)-5-羟甲基-2(5H)-呋喃酮的外文名	:(S)-(-)-5-Hydroxymethyl-2(5H)-furanone	1	(S)-(-)-5-Hydroxymethyl-2(5H)-furanone	来自百度百科

101宠物猫的发行日期	2010-12-03	1	2010年12月3日	来自百度百科

10年之约的作者	南洋兄弟	1	南洋兄弟	来自百度百科

1.11富士康工人大罢工的时间	2013年1月11日	1	2013年1月11日	来自百度百科

101忠狗续集：伦敦大冒险的发行公司	WaltDisneyHomeVideo	1	WaltDisneyHomeVideo	来自百度百科

(2007～2011)五年高考试题透视化学（上海卷）的页数	268	1	268页	来自百度百科

12-9拉萨地震的时间	2013年12月9日	1	2013年12月9日	来自百度百科

0750返利网的外文名	0750 rebate network	1	0750 rebate network	来自百度百科

08CMS的中文名	08CMS网站内容管理系统	1	08CMS网站内容管理系统	来自百度百科

10颗子弹的游戏类型	射击游戏 / 单机游戏	1	单机类、射击类	来自百度百科

07-上海江苏浙江安徽地区-公路交通旅游详图的页数	1	1	1页	来自百度百科

10分钟做清汤的页数	64页	1	64页	来自百度百科

14岁，我多了一份回忆的作者	祈霂熙	1	祈霂熙	来自百度百科

0day安全：软件漏洞分析技术（第2版）的页数	780页	1	780页	来自百度百科

1709年的朝代	清	1	清朝	来自百度百科

13MnNiMoR的宽度	1500mm-4020mm	1	1500-4020毫米	来自百度百科

1394接口的成立于	1995年	1	1995年	来自百度百科

12·23黑龙江哈尔滨女子抢夺公交车方向盘事件的时间	2011年12月23日8时30分	1	2011年12月23日8时30分	来自百度百科

1 见钟情：总裁，算计我的作者	菲树丫	1	菲树丫	来自百度百科

02·17大连地震的时间	2月17日15时20分	1	2月17日15时20分	来自百度百科

1564年的纪年	<a>明世宗</a>嘉靖四十三年	1	明世宗嘉靖四十三年	来自百度百科

.msc文件的外文名	Microsoft Snap-In Control	1	Microsoft Snap-In Control	来自百度百科

100福国际山庄鸣翠居的开发商	青岛中联盈地置业有限公司	1	青岛中联盈地置业有限公司	来自百度百科

1821年君士坦丁堡大屠杀的时间	1821	1	1821年	来自百度百科

10分钟省钱低卡带便当的作者	王安琪	1	王安琪	来自百度百科

06春快客英语八年下的页数	104	1	104页	来自百度百科

16768游戏平台的成立时间	2009年9月	1	2009年9月	来自百度百科

0-3岁宝宝同步喂养指导的出版时间	2011年1月1日	1	2011年1月1日	来自百度百科

135摄影的译者	张泽明	1	张泽明	来自百度百科

10 指“谨”扣的作者	最后的一滴泪	1	最后的一滴泪	来自百度百科

12 fan club的作词	みきとP	1	みきとP	来自百度百科

1,1,2,2-四氯乙烷的相对分子质量	167.86	1	167.86	来自百度百科

18岁，29岁的首播时间	2005年3月7日	1	2005年3月7日	来自百度百科

15号克帕赫旅馆的酒店星级	3星级	1	三星级	来自百度百科

1728年柏林条约的时间	1728年12月23日	1	1728年12月23日	来自百度百科

12.16湖北巴东地震的震级	4.5级	1	4.5级	来自百度百科

0-3岁婴幼儿饮食宝典的出版时间	2008-6	1	2008年6月	来自百度百科

14天突破中考英语：满分听力的尺寸	23 x 16 x 1.6 cm	1	23*16*1.6厘米	来自百度百科

1000kV交流系统用套管技术规范的出版时间	2009-12-1	1	2009年12月1日	来自百度百科

1234道逻辑思维训练的作者	张祥斌 编	1	张祥斌	来自百度百科

0岁-开智卡的页数	30	1	30页	来自百度百科

.net框架的开发商	<a>微软</a>	1	微软	来自百度百科

.NET程序员面试指南的出版时间	2008-11-1	1	2008年11月1日	来自百度百科

1780年的农历	庚子年	1	庚子年	来自百度百科

12·23北京朝阳区拆迁房倒塌事故的时间	2011年12月23日	1	2011年12月23日	来自百度百科

(R)-N-乙酰基-beta-萘基丙氨酸的英文名	(R)-N-Acetyl-2-naphthylalanine	1	(R)-N-Acetyl-2-naphthylalanine	来自百度百科

*风吹草动的作者	李心然	1	李心然	来自百度百科

0verflow的外文名称	Overflow/ 0veflow	1	オーバーフロー	来自百度百科

10全能学练达标练测100分*三年级语文下*人教的页数	116	1	116页	来自百度百科

150年的出处	《政论》	1	政论	来自百度百科

1031车主服务的上线时间	2013年10月	1	2013年10月	来自百度百科

1,3-二甲基-1氢-吡唑-5-甲酸乙酯的CAS号	5744-40-1;933728-77-9	1	5744-40-1;933728-77-9	来自百度百科

16岁女生产子的时间	2013年3月	1	2013年3月	来自百度百科

1.9亿学生必读书新十万个为什么的出版时间	2009-1	1	2009年1月	来自百度百科

1-乙基-3-甲基咪唑硫酸氢盐的外文名	1-Ethyl-3-methylimidazolium Hydrogen Sulfate	1	1-Ethyl-3-methylimidazolium Hydrogen Sulfate	来自百度百科

140字推爆全世界的出版时间	2009-11-28	1	2009年12月3日	来自百度百科

149的罗马数字	CXLIX	1	CXLIX	来自百度百科

100招学会角色概念设计的出版时间	2011-1-1	1	2011年1月1日	来自百度百科

12660型远洋猎雷舰的长	67.8米	1	67.8m	来自百度百科

1,6-庚二炔的外文名	:hepta-1,6-diyne	1	hepta-1,6-diyne	来自百度百科

101传奇的作者	我的道	1	我的道	来自百度百科

1-氯-3-苯氧基丙烷的分子量	170	1	170	来自百度百科

11区的位于	东北亚的岛国	1	东北亚的岛国	来自百度百科

139个高考考点对应易错题精析：数学的页数	337页	1	337页	来自百度百科

(15CD)开车读二十五史·三国志的出版时间	2011-2-1	1	2011年2月1日	来自百度百科

12·30印度尼西亚苏门答腊岛地震的时间	2011年12月30日北京时间16点51分	1	2011年12月30日北京时间16点51分	来自百度百科

1/3理想的谱曲	郑钧	1	郑钧	来自百度百科

12·13新疆白杨沟煤矿瓦斯爆炸事故的时间	2013年12月13日	1	2013年12月13日	来自百度百科

1616通讯录同步助手的时间	2012-07-23	1	2012年7月23日	来自百度百科

101个普通美国人的故事的作者	(美)徐秀丽	1	徐秀丽	来自百度百科

12·28河南漯河高速车祸的伤亡	1人死亡	1	1人死亡	来自百度百科

1.18浙江云和交通事故的伤亡情况	28人受伤、至少1人死亡	1	至少1人死亡，28人受伤	来自百度百科

03龙门高考专版第三轮生物的出版时间	1900-01-01	1	2003年	来自百度百科

1001个秘诀的作者	符文辉、王海溪	1	王海溪、符文辉	来自百度百科

180液压榨油机的活塞行距	450mm	1	450毫米	来自百度百科

1,2-苯并异噻唑啉-3-酮的英文名	1,2-Benzisothiazolin-3-One	1	1,2-Benzisothiazolin-3-One	来自百度百科

10·14俄罗斯地震的震级	里氏6.1级	1	里氏6.1级	来自百度百科

14%成本削减的出版时间	2010-8-1	1	2010年8月1日	来自百度百科

*跋涉之旅邢民结构设计实鉴的出版时间	2008-9	1	2008年9月	来自百度百科

12421型导弹艇的排水量	550吨	1	550吨	来自百度百科

1-二氢茚酮的分子式	C9H8O	1	C9H8O	来自百度百科

10全能学练课时达标*七年级数学下*人教的出版时间	2010-11	1	2010年11月	来自百度百科

17173游戏浏览器的外文名	17173ie	1	17173ie	来自百度百科

10/0.4kV配电设备继电保护实用技术的作者	狄富清 狄晓渊	1	狄富清、狄晓渊	来自百度百科

1000句常用英语祝福话的作者	张耀飞	1	张耀飞	来自百度百科

01宅男汇的经纪公司	华闻传媒	1	华闻传媒	来自百度百科

1799年的纪年	清朝<a>嘉庆</a>四年	1	清朝嘉庆四年	来自百度百科

*体偷欢的作者	shine苏薇薇	1	苏薇薇	来自百度百科

100度摩比门户网的上线时间	2010年	1	2010年	来自百度百科

113队社区的外来人口	21户	1	21户	来自百度百科

11月记的作者	垃圾之类	1	垃圾之类	来自百度百科

1804次列车的全程	499公里	1	499公里	来自百度百科

0231的填词	remix<i>:</i><i>沙</i>	1	沙	来自百度百科

(2007～2011)五年高考试题透视数学理科（上海卷）的页数	175	1	175页	来自百度百科

12岁小王妃的作者	尹孀黎梦	1	尹孀黎梦	来自百度百科

11·16柬埔寨马德望省地雷爆炸事件的伤亡人数	14人	1	14人	来自百度百科

180迈购车网的总部地点	北京	1	北京	来自百度百科

100 Girls的外文名	100 Girls	1	100 Girls	来自百度百科

11种萝卜食疗方法的口味	香甜	1	香甜	来自百度百科

073Ⅲ中型登陆舰的吃水	2．25米	1	2.25m	来自百度百科

11STATION商业的物业公司	鼎春德物业管理公司	1	鼎春德物业管理公司	来自百度百科

167的中文名	167	1	一百六十七	来自百度百科

11·27新疆地震的时间	2011年11月27日12时04分	1	2011年11月27日12时04分	来自百度百科

13小学同步作文一年级的页数	137	1	137页	来自百度百科

11·7上海松江工厂锅炉爆炸事故的时间	11-7	1	11年7月	来自百度百科

19-20世纪之交俄国马克思主义文学思想史论的出版时间	2006年3月1日	1	2006年3月1日	来自百度百科

12型反潜护卫舰的舰长	112.7米	1	112.7m	来自百度百科

12·13意大利佛罗伦萨枪击事件的伤亡情况	3人受伤、3人死亡	1	3人死亡、3人受伤	来自百度百科

101个历史故事的作者	譯／許佑群、金殷彬	1	金殷彬	来自百度百科

100 Selected Stories的出版时间	1997年9月1日	1	1997年9月1日	来自百度百科

10.27陕西大荔国税局干部车祸事故的时间	2011年10月27日	1	2011年10月27日	来自百度百科

11小学晨诵 4年级的出版时间	2011-7	1	2011年7月	来自百度百科

0-100饮食智慧的出版时间	2009年06月	1	2009年6月	来自百度百科

108将星录的游戏类型	大型角色扮演	1	扮演类、角色类	来自百度百科

-凛- (02)的作者	穗波雪音	1	穗波雪音	来自百度百科

04G415-1预应力混凝土折线形屋架的出版时间	2010-4	1	2010年4月	来自百度百科

11·22青岛输油管道爆炸事件的伤亡情况	136人受伤、62人死亡、9人失踪	1	62人死亡，9人失踪，156人受伤	来自百度百科

121-25-5的外文名	amprolium	1	amprolium	来自百度百科
