query	expect_answer	is_exact	answer	answer_from
SKF YAT204轴承的内径	20mm	1	20毫米	来自百度百科

Chino XL的出生日期	1971年4月8日	1	1971年4月8日	来自百度百科

FAG 22324-E1轴承的内径	120mm	1	120毫米	来自百度百科

一个女人的悲剧的页数	196	1	196页	来自百度百科

一花拉Spa酒店的地理位置	新加坡北岸区域	1	新加坡北岸区域	来自百度百科

2011中国国家交响乐团新年音乐会的演出时间	2010.12.30	1	2010年12月30日	来自百度百科

L·特塞克的国籍	德国	1	德国	来自百度百科

MostWanted霆锋精选的公司	英皇娱乐	1	英皇娱乐	来自百度百科

KHSYS C205的平均传输速率	300MB/s	1	300MB/s	来自百度百科

下芒巩自然村的人口	279人	1	279人	来自百度百科

NSK MF74ZZ轴承的外径	7mm	1	7毫米	来自百度百科

丁长远的出生地	明光人	1	明光	来自百度百科

三星 HG46AA790MJ的屏幕尺寸	46.000	1	46.000	来自百度百科

M·奥兰宁的出生日期	1965年9月27日	1	1965年9月27日	来自百度百科

2009-2010同济都市建筑年度作品的作者	汤朔宁、吴长福、谢振宇	1	吴长福、汤朔宁、谢振宇	来自百度百科

A·阿美罗维的出生日期	1983年1月25日	1	1983年1月25日	来自百度百科

NSK 7208BDF轴承的轴承外径	80	1	80	来自百度百科

一夜情迷的作者	莫离	1	莫离	来自百度百科

N-丙基环丙甲胺的分子量	113.2007	1	113.2007	来自百度百科

与李翱书的创作年代	唐代	1	唐代	来自百度百科

51单片机应用设计与仿真-基于LeilC与Proteus的作者	丁明亮	1	丁明亮	来自百度百科

与温暖终年不遇的作者	杨小左	1	杨小左	来自百度百科

INA轴承 SL185026轴承的型号	SL185026	1	SL185026	来自百度百科

cool 999的尺寸/体积	119×62.8×15.7mm	1	119*62.8*15.7毫米	来自百度百科

下辈子别再离开我了的作者	E_小凡	1	小凡	来自百度百科

2013年嘉禾县人民政府工作报告的地区生产总值	100亿元	1	100亿元	来自百度百科

