query	expect_answer	is_exact	answer	answer_from
保加利亚通讯社的国别	保加利亚	1	保加利亚	来自百度百科

修翔凤的性别	男	1	男	来自百度百科

何子云的民族	汉族	1	汉族	来自百度百科

仲华利的毕业院校	南京中医药大学	1	南京中医药大学	来自百度百科

丹尼斯·耶尔马兹的出生日期	1988-02-26	1	1988年2月26日(双鱼座)	来自百度百科

信长之野望13：天道威力加强版的其他名称	信长之野望13：天道PK版	1	信长之野望13：天道PK版	来自百度百科

东直门内北小街16号院的绿化率	20%	1	20%	来自百度百科

俄瑞斯忒斯阿考斯特机场的跑道长度	1860米	1	1860米	来自百度百科

作文象征用语经典的出版时间	2003-3	1	2003年3月	来自百度百科

代马大桥的通车时间	2008年5月31日上午9时30分	1	2008年5月31日上午9时30分	来自百度百科

伊维卡·西米奇的国籍	克罗地亚	1	克罗地亚	来自百度百科

东勇渡的出生地	日本	1	日本	来自百度百科

世界航母大决战的页数	249	1	249页	来自百度百科

佑洛帕酒店的地理位置	火车站	1	火车站	来自百度百科

产品外包装设计的含义	产品个性的直接和主要传递	1	产品个性的直接和主要传递	来自百度百科

修女的三世绯闻的作者	青春后遗症	1	青春后遗症	来自百度百科

乔·坎多尔弗的别名	寿险推销大王	1	Jo Candorf、寿险推销大王	来自百度百科

东芝L630-03W（雪晶白）的屏幕尺寸	13.3英寸	1	13.3英寸	来自百度百科

中国洗联实业股份有限公司的团队人数	60多个	1	60多个	来自百度百科

丹尼·杉查斯的英文名	DanielSanchezAndrades	1	DanielSanchezAndrades	来自百度百科

中北大学理学院的英文名	School of Science,NUC	1	School of Science,NUC	来自百度百科

伤风自利的出处	《<a>小儿药证直诀</a>》	1	小儿药证直诀	来自百度百科

云伯永的出生日期	1978年04月29日	1	1978年4月29日	来自百度百科

伴野罗伯特的职业	剧团演员	1	剧团演员	来自百度百科

你无以伦比的作者	凌·惜茉	1	凌·惜茉	来自百度百科

五十年栏杆拍遍－－唐涤生粤剧剧本文学探微的作者	潘步釗	1	潘步釗	来自百度百科

乔尔·格兰特的国籍	英格兰	1	牙买加	来自百度百科

乐摄宝Magnum 200 AW的内部尺寸	315×165×265mm	1	315*165*265毫米	来自百度百科

中尧村的林地面积	100亩	1	100亩	来自百度百科

中小型水电站运行维护与管理的出版时间	2006年5月1日	1	2006年5月1日	来自百度百科

中柏N2XAD425N-416NW的处理器主频	1.80GHz	1	1.80GHZ	来自百度百科

佛吉亚的年营业额	174亿欧元	1	174亿欧元	来自百度百科

伍雄军的出生地	武穴市	1	武穴市	来自百度百科

伊夫·艾克瓦拉·赫尔曼的场上位置	后卫	1	后卫	来自百度百科

余明道的所处时代	清代	1	清代	来自百度百科

俄罗斯童模的出生日期	2007.3.7	1	2007年3月7日	来自百度百科

五腊村民委的海拔	1896.00米	1	1896米	来自百度百科

何琼崖的民族	汉	1	汉族	来自百度百科

东芝 1000的内存容量	128	1	128	来自百度百科

东明街道办事处的人口	5.2万	1	5.2万	来自百度百科

中国现代化报告2012的作者	何传启 编	1	何传启	来自百度百科

仿像与超越：当代文化语境中的文学期刊的作者	<a>李明德</a>	1	李明德	来自百度百科

中国幼儿教师网的总部地点	北京	1	北京	来自百度百科

俯念的出处	《答刘西曹》	1	答刘西曹	来自百度百科

中国商人的经商智慧的作者	譚地洲                       /            王硯	1	王硯	来自百度百科

亡命驾驶的编剧	霍辛·阿米尼、詹姆斯·萨利斯	1	霍辛·阿米尼	来自百度知识图谱

余传怡的出生日期	1973年4月	1	1973年4月	来自百度百科

仓魂珠的作者	紫藤舞樱	1	紫藤舞樱	来自百度百科

伦敦戈德史密斯大学的所属地区	英国伦敦	1	英国伦敦	来自百度百科

中国系统仿真学会的理事人数	134名	1	134名	来自百度百科

五月五日天的作者	冷漠虫	1	冷漠虫	来自百度百科

