query	expect_answer	is_exact	answer	_from
4D抑喘抗逆综合疗法的结果	激活免疫力、彻底清除病毒	0	4D抑喘抗逆综合疗法_百度文库	
下曹村（山西省霍州市辛置镇下辖村）的人口	713人	0	下曹村_百度百科	
Internet实用教程的页数	175	0	Internet实用教程 (豆瓣)	
Dreams and Lies的唱片	<a>Labrador</a>(Redeye)	0	《Dreams And Lies》单曲 - 《Labrador 100》专辑 - Laurel..._虾米	
Bokor View Guesthouse的房间数量	6	0	Raksmey Kampuchea Guesthouse Guesthouse/bed and breakfast...	
library2.0的性质	图书馆的应用	0	library2.0_百度百科	
Luka Apartment的英文名称	Luka Apartment	0	Apartment Luka: Deals & Booking | Wegoprodroz.pl	
1227的中文名	1227	0	公元1227年出生的名人大全_常识_百问中文	
G3激光鼠标的图像处理	640 万像素/秒	0	G3激光鼠标_百度百科	
1236的类型	空调普快（跨3局	0	分类:81236 | 查号吧📞	
NSK 6924轴承的轴承系列	深沟球轴承	0	6924轴承列表-NSK轴承6924在售型号列表	
上海1800-0600的定价	25.00元	0	上海1800-0600 (豆瓣)	
DJV的主要成就	全亚洲地区成功发行十余张个人舞曲专辑	0	DJV_百度百科	
BOWER MR1014轴承的新型号	MR1014	0	BOWER MR1014轴承_百度百科	
一茶一坐（宝山店）的地区	上海市	0	在沈阳市搜索一茶一坐(宝山店)的地区_百度地图	
L·安德鲁·奥布莱的出生日期	1976年3月14日	1	1976年3月14日	来自百度百科
不必多说话的谱曲	黄国伦	1	黄国伦	来自百度百科
Only Me蓝盾的私生活的装帧	BBC书籍	0	Only Me蓝盾的私生活_百度百科	
2010年度注册会计师全国统一考试应试指导：审计的开本	16	0	【停售8.26】未来教育2019年度注册会计师全国统一考试应试指导 审计	
HomeStar Pro 2nd的售价	$199元	0	HomeStar Pro 2nd_百度百科	
一生做个好人的开本	32开	0	一生做个好人_百度百科	
Mint（植物）的界	植物界	0	Mint_百度百科	
jumper组合的第一首单曲	Yes!(feat. Eric)	0	jumper组合_百度百科	
KA060AR0-KAYDON薄壁轴承的内径	152.4mm	1	152.4毫米	来自百度百科
OKWAP OK88的网络频率	小灵通PHS	0	OKWAP OK88_百度百科	
J·弗雷德·塔尔博特号驱逐舰的舷号	DD-156	1	DD-156	来自百度百科
一二年生花卉彩色图说的作者	克里斯托弗·威尔逊	1	克里斯托弗·威尔逊	来自百度百科
上海久诚橡塑科技有限公司的总部地点	上海	1	上海	来自百度百科
丁建华（成都市国家税务局党组成员、总经济师）的国籍	中国	0	丁建华_百度百科	
HAUORA的毛利语	HAUORA	0	HAUORA_百度百科	
一环亲家东环广场的物业管理费	0.5元/平方米/月	0	一环亲家东环广场_百度百科	
