query	expect_answer	is_exact	answer	_from
卢卡什·德罗帕的职业	足球运动员	0	卢卡什·德罗帕_百度百科	
北京密云县北庄中学的类别	私立高中	0	北京密云县北庄中学基本介绍_高中库	
危险调查员(07)的出版社	尖端	0	危险调查员(07)_百度百科	
凤岗村（广西省桂林市荔浦县新坪镇凤岗村）的中文名	凤岗村	0	凤岗村_百度百科	
动易网站管理系统的基于	<a>微软</a>ASP语言或<a>微软</a>ASP. NET平台	0	基于动易网站管理系统的文档在线浏览应用 - huyipao的..._CSDN博客	
南城县人力资源和社会保障局的性质	事业单位	0	南城县人力资源和社会保障局_百度百科	
六梢村的中文名	六梢村	0	六梢村_百度百科	
历代名人与绰号的作者	龚杏根、龚霁芃 著	1	龚霁芃	来自百度百科
别拿心理健康不当回事儿的出版社	<a>东方出版社</a>	0	别拿心理健康不当回事儿,在线免费阅读-PDF电子读书网	
分给我烟抽的兄弟的作者	痴恋红尘梦	1	痴恋红尘梦	来自百度百科
刘明昱的中文名	刘明昱	0	刘明昱 姓名测试打分|全国有多少个叫刘明昱的重名查询|宝宝起名字...	
刘畅（红歌达人）的国籍	中国	0	刘畅_百度百科	
博兴自然村的人均收入	3500元	1	3500元	来自百度百科
光翼GYE4760的中文名	光翼GYE4760	0	光翼GYE4760_百度百科	
北京海洋环球物流咨询有限公司的总部地点	北京	1	北京	来自百度百科
关于进一步规范证券投资基金估值业务的指导意见的文号	〔2008〕 38 号	0	关于进一步规范证券投资基金估值业务的指导意见	
全息网游之明灯的连载网站	晋江文学城	0	全息网游之明灯_百度百科	
凡人文集的中文名	凡人文集	0	凡人文集_百度百科	
刘希珍的国籍	中国	1	中国	来自百度百科
发条人（英国隐藏类冒险游戏）的游戏大小	119 MB	0	发条人_百度百科	
刘驎之的本名	刘驎之	0	刘驎之_刘驎之介绍_历史知识_词典网	
历史遗留问题的作者	留天清	0	历史遗留问题_百度百科	
午后的降雪的书名	午后的降雪	0	午后的降雪_百度百科	
双南肥蛛的中文名	双南肥蛛	0	双南肥蛛 - 搜狗百科	
北马村（河北省元氏县前仙乡）的所属地区	河北省	0	北马村_百度百科	
北大的学子们的页数	318页	1	318页	来自百度百科
劳务派遣法律实务操作指引的定价	58.00元	0	【图书】劳务派遣法律实务操作指引_百度学术	
刘不疑的所处时代	汉朝	1	汉朝	来自百度百科
刘同先（原“抗日救国军”司令）的出生日期	清光绪二十四年（1898年	0	刘同先_百度百科	
双仙游侠的连载网站	起点中文网	0	双仙游侠-本书完界-爱阅小说网	
刀剑苍穹44·兴云布雨的装帧	平裝	0	刀剑苍穹44·兴云布雨_百度百科	
元肉当归鸡的功效	适用于遗精频作、可滋补精血	1	可滋补精血，适用于遗精频作	来自百度百科
全怡艺科技集团的公司名称	全怡艺科技集团	0	全怡艺科技集团_百度百科	
午餐在线的创建方	青岛富博系统工程有限公司	0	午餐在线_百度百科	
剑止无名的中文名	剑止无名	0	剑止无名_百度百科	
十二烷基羟丙基磷酸酯甜菜碱的中文名	十二烷基羟丙基磷酸酯甜菜碱	0	十二烷基羟丙基磷酸酯甜菜碱_百度百科	
六盘水市第八中学的所属地区	贵州省六盘水市	1	贵州省六盘水市	来自百度百科
升技RX600 PRO-256PCIE的芯片厂商	ATI	0	【升技RX600 PRO-256PCIE】报价_参数_图片_论坛_(Abit)升技RX600...	
千古峥嵘岁月的小说进度	连载	0	忆往昔峥嵘岁月之最新全部章节在线阅读-爱阅小说网	
剑盟誓约的中文名	剑盟誓约	0	剑盟誓约_百度百科	
兰燕泽的性别	男	1	男	来自百度百科
