query	expect_answer	is_exact	answer	_from
人体寄生虫学（第2版） （平装）的装帧	平装	0	人体寄生虫学(二版/八年制/配光盘)	
东布寨村的中文名	东布寨村	0	东布寨村_百度百科	
中国共产党历史简明读本1921-2011的出版社	<a>红旗出版社</a>	0	中国共产党历史简明读本1921-2011_百度百科	
从未如此的爱过你的作者	忽糖糖	1	忽糖糖	来自百度百科
仙界屠夫的作者	黑龙道	0	《仙界屠夫》数据_作者:忧郁心狂_起点图_起点数据	
丽讯D 6520的产品类型	工程投影机	0	丽讯D 6520_百度百科	
东赵村的所属地区	山东省东营市东营区	0	大兴东赵村属于哪个社区?_百度知道	
乌米尖的坐落于	在霍山县佛子岭镇境内	0	乌米尖_百度百科	
仙武封神的作者	步佳迪	1	如狼似虎	来自百度百科
中大阳村的所属地区	中国华东	1	中国华东	来自百度百科
偶成题裴晋公祠的文学体裁	七言律诗	1	七言律诗	来自百度百科
乱世也的连载网站	晋江文学城	0	乱世情缘之龙行江湖-楔子 乱世-爱阅小说网	
你必须知道的最新道路交通法38个热点问题的出版社	中国法制出版社	0	你必须知道的最新消费者权益保护法100个热点问题_百度百科	
东源县老干局的围绕党中心	组织老干部在“两个文明”	0	东源县老干局_百度百科	
佳人近，莫蹉跎的连载网站	晋江文学城	0	佳人近，莫蹉跎_百度百科	
伊东静香的身高	169厘米	1	169cm	来自百度百科
会发镇的气候条件	温带季风气候	1	温带季风气候	来自百度百科
丹江口市博物馆的地点	位于丹江口市新城区的北京路120号	0	丹江口市博物馆_百度百科	
仙军帝国的作者	黑马腾空	0	仙军帝国_百度百科	
乔·汤普森的国籍	英格兰	1	英国	来自百度百科
人间道妖逝的连载网站	起点中文网	0	人间道妖逝_百度百科	
二战美国陆军单兵装备的书名	二战美国陆军单兵装备	0	二战美国陆军单兵装备_百度百科	
侯勤翰的出生日期	1935年	0	侯勤翰_百度百科	
乐育村委会的中文名	乐育村委会	0	乐育乡_互动百科	
亚太地区第二代地区环境法展望的开本	32开	0	亚太地区第二代地区环境法展望_百度百科	
