query	expect_answer	is_exact	answer	_from
101个历史故事的作者	譯／許佑群、金殷彬	1	金殷彬	来自百度百科
100 Selected Stories的出版时间	1997年9月1日	1	1997年9月1日	来自百度百科
10.27陕西大荔国税局干部车祸事故的时间	2011年10月27日	1	2011年10月27日	来自百度百科
11小学晨诵 4年级的出版时间	2011-7	1	2011年7月	来自百度百科
"恶鹰"变种AL(Worm.Beagle.al)的病毒别名	I-Worm.Bagle.al AVP	0	“恶鹰”变种AL(Worm.Beagle.al)_百度百科	
0-100饮食智慧的出版时间	2009年06月	1	2009年6月	来自百度百科
10位女生的真情告白：小学生校园成长情感日记的出版社	北京日报报业集团、同心出版社	0	10位女生的真情告白：小学生校园成长情感日记_百度百科	
0-3岁中国父母最关注的100个育儿问题的书名	汉竹/亲亲乐读系列/戴淑凤育儿百科	0	家庭教育书名_百度文库	
.hack//CELL Vol.2 （完）的ISBN	9789861746265	0	.hack//CELL Vol.2 (2) (角川スニーカー文庫 102-66) (豆瓣)	
****女王之奈何我爱你的连载网站	云中书城	0	奈何boss我爱你 - 梦茹MR - 全本免费阅读 - 话本小说网	
108将星录的游戏类型	大型角色扮演	1	扮演类、角色类	来自百度百科
1208KTNGC3轴承的品牌	NSK	0	1208KTNGC3轴承_百度百科	
0.30in卡宾枪弹的中文名	0.30in卡宾枪弹	0	0.30in卡宾枪弹_百度百科	
18天搞定高中英语词汇的ISBN	9787209062404	0	高中英语词汇精选_俞敏洪 著_孔夫子旧书网	
0-3岁宝宝认读全书：动物的类别	图书 &gt; 少儿 &gt; 幼儿启蒙	0	0-3岁宝宝认读全书：认物_百度百科	
-凛- (02)的作者	穗波雪音	1	穗波雪音	来自百度百科
04G415-1预应力混凝土折线形屋架的出版时间	2010-4	1	2010年4月	来自百度百科
11·22青岛输油管道爆炸事件的伤亡情况	136人受伤、62人死亡、9人失踪	1	62人死亡，9人失踪，156人受伤	来自百度百科
1522年的中国年号	嘉靖	0	公元1522年_历史纪年年号查询	
10%先生的类型	网络自创漫画	0	我心中的10%先生_百度文库	
1,2-二溴-1,1-二氯乙烷的分子式:	C2H2Br2Cl2	0	1,2-二氯乙烷_百度百科	
(R)-(+)-氨基格鲁米特的中文名	(R)-(+)-氨基格鲁米特	0	第九章药物相互作用_图文_百度文库	
12·04贵州大巴翻车事故的地点	<a>贵州</a>境内	0	贵州大巴翻车的意思|贵州大巴翻车是什么意思 - 查字典	
0-3岁宝宝多功能认知书：宝宝在节日里的ISBN	9787546203720	0	...认知噼里啪啦翻翻书 奇妙洞洞书0-3岁婴儿绘本早教儿童书宝宝...	
16Mn合金钢管的强度级别	350、400和450MPa、300	0	16Mn合金钢管_百度百科	
1327年的中文名	1327年	0	英国爵位_百度百科	
143-8的皮膜	丁晴橡胶/氟橡胶	0	143-8_百度百科	
15crmo合金板的类型	珠光体组织耐热钢	0	15crmo合金板_百度百科	
121-25-5的外文名	amprolium	1	amprolium	来自百度百科
1000号餐饮酒店的英文名称	Hotel Restaurant 1000	1	Hotel Restaurant 1000	来自百度百科
